date,name,site_rank,IMDB,director,country,genre,user_review,review_count
01/05/2018,Deadpool 2,12,7.7,David Leitch,US,Action,5.7,12658
31/08/2019,Joker,13,8.5,Todd Phillips,USCanada,Drama,6.8,6117
31/08/2019,Joker,13,8.5,Todd Phillips,USCanada,Thriller,6.8,6117
31/08/2019,Joker,13,8.5,Todd Phillips,USCanada,Crime,6.8,6117
25/03/2019,Shazam!,14,7.1,David F. Sandberg,US,Comedy,6.7,4102
25/03/2019,Shazam!,14,7.1,David F. Sandberg,US,Adventure,6.7,4102
25/03/2019,Shazam!,14,7.1,David F. Sandberg,US,Action,6.7,4102
25/03/2019,Shazam!,14,7.1,David F. Sandberg,US,Fantasy,6.7,4102
11/06/2019,Men in Black: International,15,5.7,F. Gary Gray,US,Comedy,6.3,3411
11/06/2019,Men in Black: International,15,5.7,F. Gary Gray,US,Sci-Fi,6.3,3411
11/06/2019,Men in Black: International,15,5.7,F. Gary Gray,US,Adventure,6.3,3411
11/06/2019,Men in Black: International,15,5.7,F. Gary Gray,US,Action,6.3,3411
11/06/2019,Toy Story 4,17,7.8,Josh Cooley,US,Animation,6.6,2081
11/06/2019,Toy Story 4,17,7.8,Josh Cooley,US,Comedy,6.6,2081
11/06/2019,Toy Story 4,17,7.8,Josh Cooley,US,Adventure,6.6,2081
11/06/2019,Toy Story 4,17,7.8,Josh Cooley,US,Fantasy,6.6,2081
11/06/2019,Toy Story 4,17,7.8,Josh Cooley,US,Family,6.6,2081
29/01/2018,Black Panther,18,7.3,Ryan Coogler,US,Sci-Fi,6,12199
29/01/2018,Black Panther,18,7.3,Ryan Coogler,US,Adventure,6,12199
29/01/2018,Black Panther,18,7.3,Ryan Coogler,US,Action,6,12199
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Animation,5.9,8472
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Comedy,5.9,8472
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Sci-Fi,5.9,8472
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Adventure,5.9,8472
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Action,5.9,8472
05/06/2018,Incredibles 2,19,7.6,Brad Bird,US,Family,5.9,8472
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Animation,7.1,4823
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Comedy,7.1,4823
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Sci-Fi,7.1,4823
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Adventure,7.1,4823
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Action,7.1,4823
06/12/2018,Spider-Man: Into the Spider-Verse,20,8.4,Bob PersichettiPeter RamseyRodney Rothman,US,Family,7.1,4823
05/12/2017,Jumanji: Welcome to the Jungle,22,6.9,Jake Kasdan,US,Comedy,6.1,11409
